Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,entropy_loss,policy_gradient_loss,icm_loss,value_loss,total_loss
73.73%,745472,0.0016881052,16613,8083.5506071400005,1499.545761346817,0.793663932196796,0.002364345299188628,0.010071043825519155,0.032663019419806004,0.04509840854451379
74.55%,753664,0.0013651282,16628,7185.609981140001,1516.3581943511963,0.8252010333351791,0.005934538690820635,0.010205400891936733,0.038555033217289744,0.05469497280004711
75.37%,761856,0.0012339452,16636,7337.80902702,1532.9514932632446,0.8609401125460863,0.005887573006014259,0.009344777775550029,0.046589670785579074,0.06182202156714336
76.19%,770048,0.0013873333,16649,6497.80622208,1549.217153787613,0.8820646934211254,0.006805492381303282,0.008397752447490348,0.034708608574510434,0.04991185340330406
77.0%,778240,0.0011769515,16658,6815.832348000001,1565.9614465236664,0.9040431630797684,0.0041709928779611145,0.008735606665868544,0.04287936259197522,0.05578596213580489
77.82%,786432,0.0011427609,16667,6966.6509056,1582.6850099563599,0.9298726151697337,0.004762400884105245,0.00786018171802425,0.037492690040380694,0.050115272642510186
78.64%,794624,0.001330226,16680,7127.005647179999,1599.497360944748,0.9372038793750107,0.0038644925836295607,0.007868096634774701,0.03876319375754065,0.05049578297594491
79.46%,802816,0.0013606227,16693,6904.387560780001,1616.2348976135254,0.9608140743337572,0.0030861163218173933,0.007868520280680968,0.047393992742581756,0.058348629345080116
80.28%,811008,0.0009975291,16702,7065.0152775199995,1632.557914018631,0.9927800132427365,0.003752830542534876,0.007212209921635804,0.0429371796977648,0.05390222016193549
81.1%,819200,0.0009505512,16711,7134.46564316,1648.83793759346,1.0013615482021123,0.0033657365294583867,0.006617581887076085,0.03761635650726021,0.047599674923794674
81.92%,827392,0.0009296115,16721,7290.01642958,1665.5609548091888,0.9979961677920073,0.006108070171751208,0.006708710413113295,0.03664454226509406,0.049461322849958564
82.74%,835584,0.0009228869,16729,7790.44403678,1682.465059041977,1.002818940533325,0.004912291158994659,0.006708961990807438,0.040588240267425135,0.052209493417227235
83.56%,843776,0.0010140246,16739,8104.12075084,1699.1210668087006,0.9964714976027608,0.005243053677990632,0.006752302198219695,0.03531228854199071,0.04730764441820103
84.38%,851968,0.0009953196,16748,8547.22491676,1715.2800726890564,0.9862654245458543,0.0055742584592285704,0.006759507133028819,0.0414288169728934,0.053762582565150784
85.2%,860160,0.0009897997,16757,8230.820915679999,1731.921321630478,0.9872756112366915,0.00551569637299464,0.0070949331005977,0.0370407322408937,0.049651361714486045
86.02%,868352,0.0009764547,16766,8356.7659047,1748.6263272762299,1.010306378081441,0.005323122241401295,0.00675781775116775,0.03647518975421917,0.04855612974678822
86.84%,876544,0.000948578,16775,8356.78088606,1765.073483467102,1.0207834117114545,0.007601683268926161,0.006534602570172865,0.0378575482429369,0.05199383408203593
87.65%,884736,0.0008916367,16784,8459.09356216,1782.0459940433502,1.0052099279593676,0.005886384892751638,0.006281811757253309,0.040074491062978265,0.05224268771298322
88.47%,892928,0.0008938534,16793,8455.339659239999,1798.2106773853302,1.0030679161660374,0.004991088770038919,0.006974844184151152,0.04051744766458114,0.05248338061877121
89.29%,901120,0.000751312,16802,8360.17700936,1814.4664506912231,1.0143368577584624,0.001967864983101438,0.0065105742098239714,0.0370361491372023,0.04551458833012771
