total timesteps,mean_int_reward,total_time,Progress,num_episodes,ep_rew_mean,total_loss,value_loss,policy_gradient_loss,entropy_loss,icm_loss
114688,0.0022942576,112.89977431297302,11.37%,2292,-11.551315419999998,0.0222377606498284,0.005709007220502826,-0.0009447899721098269,0.4134193048812449,0.021761338924989104
115712,0.001981008,113.86981511116028,11.47%,2312,-11.615691320000002,0.02470586186620901,0.004875010770774679,0.010637906501183115,0.41742162592709064,0.02315457013901323
116736,0.0017350742,114.90982604026794,11.57%,2332,-11.796269580000002,0.023887464098718232,0.005500981844306807,0.004226518216659722,0.4250043323263526,0.02291471409262158
117760,0.0021888859,115.86989831924438,11.67%,2352,-11.566150119999998,0.022472073801989526,0.005224356573307887,0.0011860002771564534,0.42866698652505875,0.02183103811694309
118784,0.0017682366,116.91987085342407,11.78%,2372,-11.46211112,0.02213473595262628,0.005571608617174206,0.0015006597792678082,0.4300316357985139,0.02142750911298208
119808,0.0021508157,117.93969821929932,11.88%,2396,-10.753958160000002,0.023646373512091035,0.004876793342191377,0.004417421266030056,0.44328992161899805,0.02271695205126889
120832,0.0017477326,118.92964839935303,11.98%,2416,-10.1671773,0.02171855924293602,0.005055042958701961,0.006964029589199281,0.45151642290875316,0.020516651988145895
121856,0.0018971163,119.98987698554993,12.08%,2436,-10.299761960000001,0.022068974792406312,0.004631888151379826,0.0026979618746388635,0.45325972186401486,0.021335989789804444
122880,0.0019488619,120.96981859207153,12.19%,2456,-9.98756692,0.020169371085766385,0.004617062706529396,-0.002280188377615666,0.4693405912257731,0.019935683652875014
122880,,121.55144762992859,,2456,-9.98756692,0.022162598899206645,0.0044897605512232985,0.011355476874207668,0.4868391347117722,0.020578075156663544
