ep_rew_mean,mean_int_reward,total timesteps,num_episodes,total_time,total_loss,entropy_loss,value_loss,policy_gradient_loss,intrinsic_loss
-16.49477766,4.5400546e-13,250880,5016,306.7674238681793,0.023829587461246325,0.5105654718354344,0.025512050691759214,-0.001688548839633519,1.217121824126366e-05
-16.276885299999996,5.8799374e-13,251904,5036,307.8901765346527,0.01775047373073911,0.5170513335615396,0.02536427123413887,-0.007622835104989524,1.8075203179535038e-05
-15.83046988,2.3479897e-13,252928,5056,309.01926493644714,0.029311164108171972,0.5223557725548744,0.029421659928630106,-0.00012449344700754604,2.799525309882256e-05
-15.421419979999998,4.613679e-13,253952,5076,310.1146545410156,0.013044864579116642,0.524831572547555,0.021359720405598637,-0.008331283784689992,3.2855916415996944e-05
-16.1928238,5.5826215e-13,254976,5096,311.503858089447,0.0223070840259599,0.5230961171910167,0.022095100255683064,0.00018161191120820918,6.0743718137246105e-05
-16.36409878,4.381379e-13,256000,5120,313.08760261535645,0.023027147462620273,0.5146353486925364,0.025752353234565817,-0.0027376995189602737,2.4987494029460322e-05
-15.71209572,4.556682e-13,257024,5140,314.4700219631195,0.024354837386480803,0.5217814100906253,0.02752946221153252,-0.003182885352794435,1.652105548544114e-05
-15.83324232,4.6935665e-13,258048,5160,315.80130982398987,0.01774774555890565,0.5239078532904387,0.022722173678630497,-0.004981922701190499,1.498916293130037e-05
-15.50830742,3.8631815e-13,259072,5180,317.1804156303406,0.025749231932942825,0.5198758943006396,0.024624407684314065,0.0011056701876141547,3.830812202920697e-05
-14.628184880000001,2.9186598e-13,260096,5200,318.347868680954,0.015287381228873954,0.5232627000659704,0.022829540430393536,-0.007584456483669245,8.459456429932288e-05
-14.1074666,2.0406276e-13,261120,5220,319.4121890068054,0.015358410577866318,0.5285362582653761,0.020100428147998173,-0.004758276949564026,3.2518758864341635e-05
-14.547706439999997,5.841871e-13,262144,5240,320.5950937271118,0.017029800390962732,0.5364279234781861,0.019334887983859517,-0.0023109873387051226,1.179949161667082e-05
-14.64729126,7.254745e-13,263168,5260,321.7531304359436,0.01327645701942323,0.5348966019228101,0.018527301712310873,-0.005255010005045056,8.330624314822899e-06
-14.30456814,6.51401e-13,264192,5280,322.8777046203613,0.01991311266523421,0.5265274597331882,0.0194670200071414,0.00044252463479377106,7.136046598077428e-06
-14.404616639999999,2.8857732e-13,265216,5304,324.00215768814087,0.021209386094705435,0.5223407568410039,0.023223236079502385,-0.0020170896789170356,6.4793882401659175e-06
-14.278229,4.4822625e-13,266240,5324,325.0506660938263,0.021223803326103963,0.5259646670892835,0.020640663242375012,0.0005786818324132774,8.916502631350909e-06
-13.83394998,2.529256e-13,267264,5344,326.13883805274963,0.021001729736198283,0.5288655580952764,0.01929941300477367,0.0016970393921337155,1.0554678581797816e-05
-14.115790859999999,4.3220568e-13,268288,5364,327.50782227516174,0.008398086987980766,0.5197382960468531,0.01626175461569801,-0.007871850238345426,1.6365221256364748e-05
-14.903238040000002,4.811224e-13,269312,5384,328.9254848957062,0.018855347853748105,0.5186425810679793,0.019697677780641243,-0.0008779531615805601,7.124646937484158e-05
-14.976830639999998,3.3674295e-13,270336,5404,330.31812500953674,0.016835932150306335,0.5232039419934154,0.0203015856386628,-0.0034748769762321537,1.8446975751373884e-05
-15.23106446,1.5160327e-12,271360,5424,331.92215871810913,0.016420952648641126,0.5193241070955992,0.020912037944071926,-0.004495529355238953,8.888119616301537e-06
-14.950603699999998,5.593021e-13,272384,5444,333.3374173641205,0.026787865191237145,0.5189272705465555,0.022879520249261986,0.003902482108803327,1.1725666343664898e-05
-14.81397858,4.2985486e-13,273408,5468,334.50980520248413,0.025752795996316448,0.5246343053877354,0.02420304683619179,0.0015380135498277829,2.347122059376261e-05
-14.876006760000001,5.480582e-13,274432,5488,335.6068058013916,0.014719489473103083,0.5313567603006959,0.020498398363997694,-0.005780881668889797,3.945555990370053e-06
-14.46633638,4.691073e-13,275456,5508,336.83186626434326,0.02665817856739977,0.5366321941837668,0.024112119630444795,0.0025404201575631165,1.1277558783717723e-05
-14.413171680000003,5.840445e-13,276480,5528,337.9720091819763,0.010846758801377324,0.5410821484401822,0.017841327375208493,-0.007002339900282857,1.554265290337753e-05
-14.35813602,2.39271e-13,277504,5548,339.01417303085327,0.015677503365935267,0.5388885578140616,0.018115258593752515,-0.002445555235852266,1.560001607003869e-05
-14.29791744,2.6938342e-13,278528,5568,340.0949764251709,0.02022042587209169,0.5404989644885063,0.017670847228146158,0.002542266509758501,1.4624268374063831e-05
-14.37057232,2.992927e-13,279552,5588,341.2395730018616,0.00826448307779876,0.5468602143228054,0.017125539634434972,-0.008877454074216412,3.2795035160404495e-05
-14.00843404,4.264359e-13,280576,5608,342.4318118095398,0.014856187929950098,0.5542149180546403,0.018862909128074534,-0.004018359425338388,2.3276454427900717e-05
-14.046773939999998,4.0463021e-13,281600,5632,343.8403832912445,0.018585236738915406,0.5601805662736297,0.017270173266297206,0.0013065510198559636,1.702490552446534e-05
-13.70630698,7.267639e-13,282624,5652,345.3328649997711,0.01959178410972712,0.5631863810122013,0.017584521461685654,0.001993486721970476,2.7551852141982636e-05
-13.151083160000002,6.6982455e-13,283648,5672,346.7024269104004,0.006161549604656927,0.5667315041646361,0.015011768322438002,-0.008880035723108078,5.963401065400831e-05
-13.286533059999996,6.2866466e-13,284672,5692,348.0881862640381,0.013777601956223344,0.565309920348227,0.014108060342550743,-0.0003456830290366002,3.0449285418399086e-05
-13.446084679999998,8.3499874e-13,285696,5712,349.3961019515991,0.007376642361152711,0.5690034795552492,0.01602711679879576,-0.008664592814649204,2.823675401231185e-05
-14.1706611,3.8630655e-13,286720,5732,350.7414813041687,0.012532635728365354,0.5742487711831927,0.016371966390579473,-0.0038462743627087066,1.3887400989176513e-05
-13.97889738,5.8782547e-13,287744,5752,351.90540862083435,0.02157046453103792,0.5757894143462181,0.01803371489950223,0.003521362412573584,3.077443792420809e-05
-13.752868819999998,5.889704e-13,288768,5772,353.0158829689026,0.014638092793653173,0.5808125901967287,0.01627930541144451,-0.0016529462765506218,2.3467317518566233e-05
-12.638275579999997,6.2274415e-13,289792,5792,354.13948225975037,0.013217722621069565,0.5839665746316314,0.01727508801559452,-0.004062164868056447,9.598947062983143e-06
-12.63252214,1.6932196e-12,290816,5816,355.2463161945343,0.016051672125546968,0.5911388620734215,0.013450778311380418,0.00259826210247709,5.263423378920606e-06
-13.02148622,7.437434e-13,291840,5836,356.3302664756775,0.013937949226275786,0.5887642549350858,0.017434021501685493,-0.003498782210068601,5.419869317790926e-06
-13.415498580000001,9.18021e-13,292864,5856,357.34104776382446,0.019838699235690167,0.5909925261512399,0.015172348747000797,0.004665214003208979,2.272970960781606e-06
-13.380119500000001,3.3961198e-10,293888,5876,358.3997497558594,0.00963764116228866,0.5973638780415058,0.016125008936796803,-0.0064894732654248695,4.210981833452365e-06
-13.16561782,6.6401957e-13,294912,5896,359.718857049942,0.0064970698252082015,0.5950706861913204,0.014928802818758413,-0.008435921608573038,8.37723004565305e-06
-13.09807698,8.3116603e-13,295936,5916,361.1737847328186,0.01476576015503223,0.5993733517825603,0.01711827293911483,-0.0023559810017743077,6.936435383408934e-06
-13.45610184,2.852051e-13,296960,5936,362.61806869506836,0.013105963407214084,0.5966745959594846,0.016476395539939404,-0.0033727525887260012,4.6409120013635174e-06
-13.408391900000002,2.6370076e-13,297984,5956,364.0738527774811,0.010661095580869197,0.5914378212764859,0.013433363408694277,-0.0027749504553301048,5.365255010048031e-06
-13.36428378,3.2643807e-13,299008,5980,365.4724042415619,0.022345260934072388,0.6033685291185975,0.016912353465158958,0.005425260370177853,1.5294197471149573e-05
-13.31898682,5.49252e-13,300032,6000,366.58924436569214,0.0161469614153684,0.6133762616664171,0.018825856379407924,-0.002696659817542432,3.5529707005821365e-05
-13.164693120000003,7.8946815e-13,301056,6020,367.7297456264496,0.02042930873259077,0.6185903241857886,0.01660428893228527,0.003804449146030423,4.114130855015219e-05
-13.146795560000001,3.976274e-13,302080,6040,368.820485830307,0.010327522657563485,0.6235912330448627,0.016072226459073136,-0.005760520045376245,3.163248773319083e-05
-12.918394800000002,6.461382e-13,303104,6060,370.0274701118469,0.014072188318933813,0.6231189146637917,0.014532269626215566,-0.00047377770317829954,2.739279179309051e-05
-12.139268539999998,5.6637865e-13,304128,6080,371.0673201084137,0.023508228139712102,0.6222978150472045,0.014138704267679714,0.009363995453496983,1.1056837070810843e-05
-12.3028107,6.870242e-13,305152,6100,372.1536362171173,0.01875526185539801,0.6175871584564447,0.01374466410925379,0.005006735817989176,7.723856310093424e-06
-12.701904200000001,2.509086e-13,306176,6120,373.27792096138,0.012347793724815774,0.6099744103848934,0.015473112594918348,-0.0031327961883409316,1.4954636476716132e-05
-13.356843699999999,2.443101e-13,307200,6144,374.43613386154175,0.015315035476532755,0.6027535116299987,0.014559965784428641,0.0007399204558670904,3.0298472474044047e-05
