total_time,Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,entropy_loss,total_loss,icm_loss,policy_gradient_loss,value_loss
1474.3853499889374,70.45%,712704,0.0012601296,712,113.99885760000001,0.07702250173315406,0.07727147411422582,0.042962382393307054,0.001448625349561077,0.032860466371357686
1490.503934621811,71.27%,720896,0.0013254526,720,114.32621290000002,0.07703204620629549,0.07771537618669591,0.042064109696366356,0.0018516555575917716,0.03379961093273778
1507.6140189170837,72.09%,729088,0.0014054951,728,114.53279159999998,0.09689363702200353,0.07751651577433612,0.042407583841122684,0.0011493282158101296,0.033959603717403294
1524.7923209667206,72.91%,737280,0.001301272,736,114.57274844,0.10873624854721128,0.07552095676205889,0.04036378837772645,0.001435671945161888,0.03372149643917055
1542.2915284633636,73.73%,745472,0.0012548867,744,114.82165181999999,0.12129924800246954,0.07680336994893226,0.04001002037985017,0.0022566972239318125,0.034536652345150284
1559.9087948799133,74.55%,753664,0.0010926841,752,114.76875815999998,0.13430621926672756,0.07473875502492555,0.03784457089350326,0.000758872572221283,0.036135311559201
1576.7641787528992,75.37%,761856,0.0012344787,760,114.50487822000001,0.15514490325003863,0.07679266931647574,0.03635988105670549,0.001913187505394788,0.03851960075437546
1595.765001296997,76.19%,770048,0.001206136,768,114.71967504,0.17549987216480076,0.0817202087302349,0.035119749193836466,0.0027455454697474717,0.043854914066650964
1612.3345563411713,77.0%,778240,0.0012333554,776,114.97992262,0.19482075963169337,0.07159549215786196,0.033978415570163636,0.0018557791482541129,0.03576129743944421
1630.825263261795,77.82%,786432,0.0011747146,784,115.48701368,0.2112459079362452,0.06628823145053578,0.03241234359302325,0.0007199434008005823,0.03315594445671195
1647.7014560699463,78.64%,794624,0.001132652,792,115.88528111999999,0.22050501564517616,0.06828443377089426,0.0318213377482607,0.0020979940640230834,0.034365101958610464
1665.7173855304718,79.46%,802816,0.0010373245,800,116.14602452000001,0.21799054672010243,0.06992876427187464,0.031386378937168044,0.0010042906024255575,0.03753809473228102
1684.3934466838837,80.28%,811008,0.0010621353,808,116.60323392000001,0.225832898914814,0.0698582604636174,0.03164468841860071,0.001806511176939021,0.03640706086807768
1703.2571721076965,81.1%,819200,0.0010169028,816,117.07372561999999,0.24850527863018215,0.07182570005842233,0.0310506633555633,0.001908622799316323,0.03886641390354271
1720.3790760040283,81.92%,827392,0.0009911478,824,117.08095266000001,0.26165249454788864,0.07011077127894821,0.028728678563493305,0.001968189142278034,0.03941390357317687
1738.1460580825806,82.74%,835584,0.0009114763,832,117.00790438,0.27503984440118073,0.06897341655320906,0.028638361766934396,0.00311080199582284,0.03722425279045183
1755.9773542881012,83.56%,843776,0.0009337461,840,116.76063988000001,0.2779786308296025,0.06754596233290097,0.02874940698966384,0.0016417911679985347,0.037154764175238594
1773.3390517234802,84.38%,851968,0.0009643567,848,116.66045706000001,0.27855225652456284,0.06729134628912826,0.02805917446821695,0.0025863017488499404,0.03664587007206137
1790.4282908439636,85.2%,860160,0.0009450782,860,116.35884027999998,0.2833022384904325,0.06979891510321254,0.028817384914145806,0.002151547707496374,0.038829982481570366
1806.0712492465973,86.02%,868352,0.0008932245,868,116.23122808,0.27732063792645933,0.08699666066457175,0.02774975162028568,0.0016873890358325247,0.057559520008453546
1823.81094455719,86.84%,876544,0.0008475162,876,115.85565333999999,0.28101118323393165,0.0661126159354033,0.028239901197957808,0.0013320172920109976,0.03654069744543449
1841.3382017612457,87.65%,884736,0.0008433458,884,115.7229076,0.2822792044375092,0.07132585853867082,0.027599150643800384,0.0022169902767924785,0.04150971761807796
1858.419401884079,88.47%,892928,0.0009389326,892,116.28292954,0.28881033207289875,0.06761780456003039,0.027788329892791806,0.001302730378291425,0.03852674428894716
