total timesteps,ep_rew_mean,Progress,total_time,num_episodes,mean_int_reward,policy_gradient_loss,value_loss,icm_loss,entropy_loss,total_loss
884736,508.0410593800001,87.65%,1797.2101197242737,8636,0.0049824833,0.003325835462161391,0.011357981155288143,0.14283675867482087,-0.18649003620957955,0.14430514033656583
892928,523.34661996,88.47%,1814.3679296970367,8687,0.0053461664,0.002655313941822669,0.015549593702417042,0.14203754411428235,-0.19215570165542886,0.14385803487870633
901120,742.4737063799998,89.29%,1831.6443810462952,8718,0.004717136,0.0036922686366994044,0.014974153833372838,0.1394668384687975,-0.19268407090567052,0.14133348071580473
909312,918.1464141399998,90.11%,1849.134243965149,8748,0.0047517988,0.0010889699485284463,0.006872269039331513,0.13673138943267987,-0.17632454087724908,0.13752751333146587
917504,924.8912359199999,90.93%,1866.7331025600433,8777,0.0042225761,0.0043079927402796606,0.007796686235815286,0.1280358171032276,-0.17265770219964907,0.12924628500083707
925696,961.46707954,91.75%,1883.722532749176,8804,0.0041963292,0.0047054009627648784,0.011223299510220386,0.13048217087052763,-0.17579511902295053,0.13207504091782613
933888,1003.98389048,92.57%,1900.792545080185,8831,0.0041924087,0.0008517141065737617,0.007015893281823083,0.12611067818361335,-0.16435898513300345,0.12689743892245303
942080,1034.4943086199999,93.39%,1918.029420375824,8855,0.0041274675,0.0010766331861727881,0.0289432473557099,0.12666199230588973,-0.15901137716136873,0.129663980360078
950272,1224.82511888,94.21%,1935.135951757431,8874,0.0035972949,0.0015965031919419424,0.017614413413502915,0.12123481181333773,-0.16713994190795348,0.12315590347388221
958464,1258.9765021199999,95.03%,1952.391793012619,8900,0.0043747744,0.002636926460006773,0.0100645544271174,0.12400124879204669,-0.17815725989639758,0.1252713968807591
966656,1028.9295700999999,95.85%,1970.0749502182007,8927,0.0041407692,0.0008617591037233758,0.009480085170889652,0.12855147360241972,-0.17706835411954672,0.129585658029881
974848,1009.64049724,96.67%,1987.2738423347473,8955,0.0038683351,0.0012977095794872826,0.00611677463361957,0.12330982789862902,-0.177557195071131,0.12405127631993969
983040,999.44759002,97.48%,2004.5631504058838,8981,0.0034173518,0.0009608749901489947,0.0069328080316154225,0.1245515569113195,-0.17613528623478486,0.12534092521349596
991232,982.7749457599998,98.3%,2022.0316848754883,9011,0.0036457339,0.0025610798370676604,0.006605116050241122,0.1305704276135657,-0.1732126430259086,0.1314870472022966
999424,950.65592974,99.12%,2039.7641048431396,9040,0.0037095996,0.00380979218145016,0.00800521833671155,0.13056781318155117,-0.16495994867291303,0.13174931423336736
1007616,938.22788396,99.94%,2056.8403418064117,9070,0.0034111427,0.002188533328392359,0.006932672561742947,0.13022390455007554,-0.1651239433675073,0.13113602513908906
