total timesteps,ep_rew_mean,Progress,num_episodes,total_time,mean_int_reward,total_loss,entropy_loss,policy_gradient_loss,value_loss,icm_loss
598016,1102.7306576,58.98%,5530,1171.5262784957886,0.0067489084,0.17405624069924333,-0.5715981616172939,-0.0001318022374445814,0.025209264824843557,0.1715484944405034
606208,1164.5729015,59.8%,5551,1188.2779545783997,0.0067376852,0.16977627029564632,-0.5603636599611491,0.0005401081951665694,0.011971811654984777,0.1685250783106312
614400,1124.40791912,60.62%,5572,1205.521362543106,0.007140208,0.16704795207450635,-0.5412335795350373,0.0005398435769868783,0.027500159684495883,0.1642439517483581
622592,1166.22623838,61.44%,5591,1222.4285383224487,0.0069725828,0.16639405541521168,-0.5241300840396435,-0.0003150635050647537,0.06122813304464216,0.16030274846125395
630784,1245.98978024,62.26%,5608,1241.3158447742462,0.0069401059,0.1581497458129893,-0.5051477227592841,-0.00030258964506638645,0.02313992456874985,0.15586601232062094
638976,1287.4974779,63.08%,5627,1260.4875841140747,0.0067737709,0.15384488782565595,-0.4918802694650367,0.0009135316777528988,0.012210817250888795,0.15253245293279177
647168,1310.8868158599998,63.9%,5644,1279.2266030311584,0.0066202081,0.1552006355363908,-0.4798290946288034,-0.0006596661288609003,0.031089666688785655,0.15215763548039832
655360,1340.5012852,64.72%,5660,1296.8886549472809,0.0062623525,0.1456052509894315,-0.4629342821193859,0.00042947603817872156,0.010151474088524992,0.14454715597676113
663552,1565.0727854,65.54%,5672,1313.4076657295227,0.0060627092,0.14043134681758812,-0.44621593977790325,0.00029301326651246537,0.010307060147351877,0.13937133947620167
671744,1626.69963344,66.36%,5689,1332.0965416431427,0.0063266124,0.13597236649019787,-0.4306574906921014,0.0013361440740688913,0.006995896634271049,0.13513916241936386
679936,1584.56428734,67.17%,5706,1352.9739863872528,0.0060668437,0.13601529206390936,-0.4154650955693796,0.0006294322256241052,0.026539249550478417,0.13329842388629914
688128,1557.4542162399998,67.99%,5721,1370.1155054569244,0.0059211633,0.13269814567385524,-0.39831137508153913,0.0006327957116568608,0.030248815066624957,0.12960998459602707
696320,1552.7704463399998,68.81%,5736,1386.4213910102844,0.0056474112,0.127526740593259,-0.3847293044673279,0.006040964754373696,0.02745742090719432,0.12417690202710219
704512,1577.44711004,69.63%,5750,1402.1592991352081,0.0055835834,0.12500867365576368,-0.37243898860178887,0.0016521779355344666,0.0553567664414004,0.1193077792180702
712704,1514.82752608,70.45%,5768,1418.8536586761475,0.0054790781,0.12060479992564592,-0.36568926211912184,0.002093736378681156,0.04056956768963573,0.11633846951881424
720896,1329.8703462000003,71.27%,5791,1435.3279252052307,0.0050347766,0.1213141289891044,-0.3667277710745111,0.0020918042726208183,0.05575451081822393,0.11552949748001992
729088,1198.58947766,72.09%,5811,1451.807046175003,0.0052333823,0.12314787625634058,-0.3634994726162404,0.0015762137795394845,0.06356412027816986,0.11663384285056963
737280,1066.00314084,72.91%,5836,1467.4969873428345,0.0053733367,0.12023917659372181,-0.35719106828328223,0.0020876023555409114,0.04432749424267968,0.11559766693389975
745472,1256.95568902,73.73%,5851,1483.0844140052795,0.0048955288,0.11717324348871083,-0.3517649171641096,0.0020417776805154195,0.06390612692084688,0.11057845302857458
753664,1271.2954137400002,74.55%,5871,1498.9409828186035,0.0052174637,0.11364086788094654,-0.3418437701417133,0.0014354373278991737,0.026146373012670664,0.11088268684688955
761856,1480.39350124,75.37%,5885,1516.4494059085846,0.0045902393,0.11096995671322447,-0.3355521788122132,0.0007716901915926494,0.021425664211346885,0.1087502212729305
770048,1408.6668755599999,76.19%,5903,1533.5340349674225,0.0045998774,0.10974342920820619,-0.331764047825709,0.0017458687058481367,0.02066211175560966,0.10750263116206042
778240,1542.24784254,77.0%,5919,1549.2032680511475,0.0047725434,0.10860372526532817,-0.32475520502775906,0.0009685686776581264,0.02752708366351726,0.10575416003121063
786432,1634.38477886,77.82%,5930,1566.3011937141418,0.0044433643,0.10885802098349037,-0.3203832294791937,0.0005489914306188036,0.021098189596887095,0.10669330288073979
794624,1733.5557589,78.64%,5944,1582.869751214981,0.0042947094,0.10985493252892047,-0.3082489613443613,0.0010146648360749122,0.013729526864517538,0.1083805133588612
