num_episodes,total timesteps,total_time,ep_rew_mean,total_loss,entropy_loss,value_loss,policy_gradient_loss
2289,164864,118.49338555335999,454.6,3.968826045694967,-0.3743539396673441,3.912366834934801,0.05645921076016634
2306,165888,119.24437260627747,133.64,45.17534051212441,-0.35760995745658875,45.156992077827454,0.018348434296947054
2319,166912,120.0475766658783,53.08,20.156342172096057,-0.3284112401306629,20.149251878261566,0.007090293834492755
2325,167936,120.81102299690247,59.06,12.212073298842117,-0.3045037593692541,12.218702964484692,-0.006629665642573234
2325,168960,121.56401133537292,59.06,3.5693174426043006,-0.2896745093166828,3.5696784649044275,-0.0003610223001267731
2325,169984,122.25104546546936,59.06,0.18100953904053954,-0.2738512996584177,0.18373220856301486,-0.0027226695224753434
2327,171008,122.99254274368286,97.12,0.16918843138934375,-0.26714620366692543,0.16720730566885322,0.0019811257204905126
2329,172032,123.70686459541321,136.16,2.048245800715674,-0.25759975239634514,2.051123363431543,-0.002877562715868894
2329,173056,124.38823771476746,136.16,1.92614838744142,-0.24956773407757282,1.9206200502812862,0.005528337160133718
2329,174080,125.13217687606812,136.16,0.07839512964976039,-0.23252171464264393,0.08265215210849419,-0.004257022458733811
2331,175104,125.84495139122009,174.66,0.06378243755455633,-0.2310216687619686,0.0647836725693196,-0.0010012350147632848
2333,176128,126.54763698577881,212.46,2.388204087292288,-0.23760350048542023,2.385145196923986,0.0030588903683020363
2334,177152,127.30607080459595,220.3,2.057168775867683,-0.2411591373383999,2.0579356879461557,-0.0007669120784729115
2334,178176,128.0689833164215,220.3,1.3701324128196566,-0.23583178222179413,1.3715155147365294,-0.0013831019168729342
2336,179200,128.80632185935974,259.16,0.0651438514507165,-0.2081756852567196,0.06409171869745478,0.0010521327532617211
2337,180224,129.5132758617401,278.52,2.7020845573577006,-0.19533526711165905,2.7014582708943635,0.0006262864633367611
2338,181248,130.26182222366333,298.14,1.7082789292757816,-0.19644874706864357,1.7020951826125383,0.006183746663243376
2338,182272,131.00363659858704,298.14,1.6581664383323476,-0.1945717502385378,1.6554038542089984,0.002762584123349233
2340,183296,131.7273235321045,337.04,0.04074998591444483,-0.20735840313136578,0.04387158478493802,-0.003121598870493191
2341,184320,132.4656524658203,356.74,3.5561759689196393,-0.2146108504384756,3.5532420077361166,0.002933961183522781
2342,185344,133.176100730896,375.64,1.7543973656327776,-0.22971473447978497,1.7509064706973732,0.003490894935404458
2342,186368,133.92566800117493,375.64,1.8008370194117482,-0.23835709691047668,1.7943079971009865,0.006529022310761818
2344,187392,134.6663179397583,414.1,0.054245700827214395,-0.22452753968536854,0.05430306398193352,-5.736315471912244e-05
2345,188416,135.3867781162262,431.82,3.5446909704652665,-0.22153854928910732,3.541938782436773,0.002752188028493716
2346,189440,136.0943639278412,451.3,1.8808208101579211,-0.21557598188519478,1.8832454297225922,-0.0024246195646710073
